Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.countdown.shallow.10000.heftia,172066308,14754118,1760162,1386,7340032
All.countdown.shallow.10000.freer,154119531,13655300,1600145,1233,7340032
All.countdown.shallow.10000.polysemy,1209482031,57409298,13361481,11713,7340032
All.countdown.shallow.10000.fused,4910897,457736,24,0,7340032
All.countdown.shallow.10000.effectful,142740332,13404616,1121570,975,7340032
All.countdown.shallow.10000.eff,281149023,26312230,2087371,1636,7340032
All.countdown.shallow.10000.effective,257720605,13782388,2480242,1854,7340032
All.countdown.shallow.10000.effective.fstg,2494042,214462,24,0,7340032
All.countdown.shallow.10000.effective.naive,86489697,6736154,1040121,779,7340032
All.countdown.shallow.10000.mp,186393554,14106444,3441170,2798,7340032
All.countdown.shallow.10000.mp.safe,1100910156,163486266,14241121,10914,7340032
All.countdown.shallow.10000.mtl.logict,4950784,425622,24,0,7340032
All.countdown.shallow.10000.handrolled.logict,4933142,421186,24,0,7340032
All.countdown.deep.10000.heftia,1286714843,105968658,17760483,13868,7340032
All.countdown.deep.10000.freer,571095898,26241480,10400173,7984,7340032
All.countdown.deep.10000.polysemy,2309474218,133060020,37363380,31132,7340032
All.countdown.deep.10000.fused,2683870312,218778288,27121286,20844,7340032
All.countdown.deep.10000.effectful,146022802,10476982,1136505,2394,7340032
All.countdown.deep.10000.eff,279041015,27086120,2088075,2940,7340032
All.countdown.deep.10000.effective,162491210,13418590,2000194,1444,7340032
All.countdown.deep.10000.effective.fstg,2493801,210490,24,0,7340032
All.countdown.deep.10000.effective.lstg,65200976,3617668,1200100,859,7340032
All.countdown.deep.10000.effective.naive,168261621,13325566,3920274,2830,7340032
All.countdown.deep.10000.mp,191453222,14646680,3442691,3163,7340032
All.countdown.deep.10000.mp.safe,3509801562,246498542,41443963,37746,7340032
All.countdown.deep.10000.mtl.logict,4971420,416328,24,0,7340032
All.countdown.deep.10000.handrolled.logict,4954037,443582,24,0,7340032
All.countdown.very-deep.10000.heftia,9251606250,913964834,161763304,168468,7340032
All.countdown.very-deep.10000.freer,5075962500,441078382,89600730,84951,7340032
All.countdown.very-deep.10000.polysemy,11114512500,918297216,253380957,233981,7340032
All.countdown.very-deep.10000.effectful,162110058,10447284,1410353,60443,7340032
All.countdown.very-deep.10000.eff,276787500,26465086,2085107,33335,7340032
All.countdown.very-deep.10000.effective,164138183,13261366,2000226,1391,7340032
All.countdown.very-deep.10000.effective.fstg,2497312,208594,104,0,7340032
All.countdown.very-deep.10000.effective.lstg,65032055,3859728,1200132,827,7340032
All.countdown.very-deep.10000.effective.naive,1314537500,114961844,20401244,14236,7340032
All.countdown.very-deep.10000.mp,490748046,27164732,3776413,7929,7340032
All.countdown.very-deep.10000.mp.safe,23080337500,1842464110,286589490,332991,7340032
All.countdown.very-deep.10000.mtl.logict,4979595,410910,104,0,7340032
All.countdown.very-deep.10000.handrolled.logict,4939077,420504,104,0,7340032
All.catch.shallow.10000.heftia,269633984,26363764,4069612,187556,7340032
All.catch.shallow.10000.freer,35393261,3410440,65596,44,10485760
All.catch.shallow.10000.polysemy,1117335546,63383792,7764897,244403,10485760
All.catch.shallow.10000.fused,20195397,1862060,65586,43,10485760
All.catch.shallow.10000.effectful,1065503906,58242582,7846353,1175130,10485760
All.catch.shallow.10000.eff,400322200000,34875505030,413467414,14238878,618659840
All.catch.shallow.10000.mp,835351562,63465898,6081394,1045004,618659840
All.catch.shallow.10000.mp.safe,834281250,52407842,6081394,1045214,618659840
All.catch.shallow.10000.mtl.logict,20257006,1843390,65586,43,618659840
All.catch.shallow.10000.effective,245976464,14952830,1687795,117692,618659840
All.catch.shallow.10000.effective.fstg,16076861,932394,65585,42,618659840
All.catch.shallow.10000.effective.naive,73805761,6628718,723953,16405,618659840
All.catch.shallow.10000.handrolled.logict,20360363,1753096,65586,42,618659840
All.catch.deep.10000.heftia,3259689062,224005096,16870482,7311556,618659840
All.catch.deep.10000.freer,34397521,4605612,66058,42,618659840
All.catch.deep.10000.polysemy,6536075000,451657780,55153744,4721355,618659840
All.catch.deep.10000.fused,1700774218,105035798,16165107,262066,618659840
All.catch.deep.10000.effectful,1077138281,107624746,7864171,1203204,618659840
All.catch.deep.10000.eff,399330600000,38787729564,414305494,14454495,618659840
All.catch.deep.10000.mp,846728906,53906706,6083955,1047810,618659840
All.catch.deep.10000.mp.safe,851639453,55204674,6083954,1047976,618659840
All.catch.deep.10000.mtl.logict,20352648,1723344,65586,41,618659840
All.catch.deep.10000.effective,174190820,16931226,1527786,93162,618659840
All.catch.deep.10000.effective.fstg,16057080,1065188,65585,40,618659840
All.catch.deep.10000.effective.lstg,167612402,13613810,1527786,93160,618659840
All.catch.deep.10000.effective.naive,240984960,13812960,3367875,178663,618659840
All.catch.deep.10000.handrolled.logict,20243090,897866,65585,40,618659840
All.catch.very-deep.10000.heftia,40653700000,2387449778,132077892,97092974,618659840
All.catch.very-deep.10000.freer,32399511,1809488,70018,40,618659840
